original,resolved_form,phrase_type,function,confidence,method,count,strong,morph
διαφανής,,AdjP,,0.75,morph_inference,1,G1307,A-NSM
διαφύγοι,,,Pred,0.85,morph_inference,1,G1309,V-2AAO-3S
διδωμι,,,Pred,0.85,morph_inference,1,G1325,V-PAI-1S
γάμησας,,,Pred,0.85,morph_inference,1,G1060,V-AAP-NSM
γέγονασιν,,,Pred,0.85,morph_inference,1,G1096,V-2RAI-3P
εὐχόμαι,,,Pred,0.85,morph_inference,1,G2172,V-PDI-1S
εὐωδίαν,,NP,,0.85,morph_inference,1,G2136,N-ASF
εὐωνύμῶν,,AdjP,,0.75,morph_inference,1,G2176,A-GPM
εὑρεθείς,,,Pred,0.85,morph_inference,1,G2147,V-APP-NSM
εὑρήσῃς,,,Pred,0.85,morph_inference,1,G2147,V-AAS-2S
εὑρίσκετο,,,Pred,0.85,morph_inference,1,G2147,V-IPI-3S
εἴπης,,,Pred,0.9,strong_phrase_map,1,G2036,V-2AAS-2S
εἴχε,,,Pred,0.85,morph_inference,1,G2192,V-IAI-3S
εἴχεν,,,Pred,0.85,morph_inference,1,G2192,V-IAI-3S
εἵλετο,,,Pred,0.85,morph_inference,1,G138,V-2AMI-3S
εἶδε,,,Pred,0.85,morph_inference,1,G3708,V-2AAI-3S
εἶπὲ,,,Pred,0.9,strong_phrase_map,1,G2036,V-2AAM-2S
εἶς,,AdjP,,0.75,morph_inference,1,G1520,A-NSM
εὐαγγελίζηται,,,Pred,0.85,morph_inference,1,G2097,V-PMS-3S
εὐδοκήσαμεν,,,Pred,0.85,morph_inference,1,G2106,V-AAI-1P
εὐηγγελίσαντο,,,Pred,0.85,morph_inference,1,G2097,V-AMI-3P
ζήλωσον,,,Pred,0.85,morph_inference,1,G2206,V-AAM-2S
ζήσομεθα,,,Pred,0.85,morph_inference,1,G2198,V-FDI-1P
ζήσονται,,,Pred,0.85,morph_inference,1,G2198,V-FDI-3P
ζήτημά,,NP,,0.85,morph_inference,1,G2213,N-NSN
ζώσας,,,Pred,0.85,morph_inference,1,G2198,V-PAP-APF
ζῳογονεῖσθαι,,,Pred,0.85,morph_inference,1,G2225,V-PPN
ζῳογονήσει,,,Pred,0.85,morph_inference,1,G2225,V-FAI-3S
εὐηρεστηκέναι,,,Pred,0.85,morph_inference,1,G2100,V-RAN
εὐθείαν,,AdjP,,0.75,morph_inference,1,G2117,A-ASF
εὐθύμοτερον,,AdvP,Cmpl,0.85,morph_inference,1,G2115,ADV
εὐλογειτε,,,Pred,0.85,morph_inference,1,G2127,V-PAM-2P
εὐλογήσῃς,,,Pred,0.85,morph_inference,1,G2127,V-AAS-2S
εὐπρόσεδρον,,AdjP,,0.75,morph_inference,1,G2145,A-ASN
εὐφρανθήσονται,,,Pred,0.85,morph_inference,1,G2165,V-FPI-3P
εὐφράνθη,,,Pred,0.85,morph_inference,1,G2165,V-API-3S
εὐχαρίστησαν,,,Pred,0.85,morph_inference,1,G2168,V-AAI-3P
ηλι,,NP,,0.85,morph_inference,1,G2241,HEB
ημῶν,,NP,,0.85,morph_inference,1,G2257,P-GP
ηὐλόγει,,,Pred,0.85,morph_inference,1,G2127,V-IAI-3S
ηὐπορεῖτό,,,Pred,0.85,morph_inference,1,G2141,V-IDI-3S
θαλάσσαν,,NP,,0.85,morph_inference,1,G2281,N-ASF
θαμβῶν,,,Pred,0.85,morph_inference,1,G2284,V-PAP-NSM
θαυμάσονται,,,Pred,0.85,morph_inference,1,G2296,V-FDI-3P
θεμελιώσαι,,,Pred,0.85,morph_inference,1,G2311,V-AAO-3S
εὔνοιαν,,NP,,0.85,morph_inference,1,G2133,N-ASF
εὔχεσθε,,,Pred,0.85,morph_inference,1,G2172,V-PDM-2P
εὗροντες,,,Pred,0.85,morph_inference,1,G2147,V-2AAP-NPM
εὶς,,PP,Cmpl,0.9,strong_phrase_map,1,G1519,PREP
εῖπεν,,,Pred,0.9,strong_phrase_map,1,G2036,V-2AAI-3S
εῖπον,,,Pred,0.9,strong_phrase_map,1,G2036,V-2AAI-3P
ζημιωθῃ,,,Pred,0.85,morph_inference,1,G2210,V-APS-3S
ζητοὺντες,,,Pred,0.85,morph_inference,1,G2212,V-PAP-NPM
θρόνοῦ,,NP,,0.85,morph_inference,1,G2362,N-GSM
θρῆνος,,NP,,0.85,morph_inference,1,G2355,N-NSM
θυγατερα,,NP,,0.85,morph_inference,1,G2364,N-ASF
θυγατρί,,NP,,0.85,morph_inference,1,G2364,N-DSF
θέλωσιν,,,Pred,0.85,morph_inference,1,G2309,V-PAS-3P
καίτοιγε,,,,0.8,morph_inference,1,G2544,PRT
καθαρίζον,,,Pred,0.85,morph_inference,1,G2511,V-PAP-NSN
καθηγητής,,NP,,0.85,morph_inference,1,G2519,N-NSM
καθιστῶντες,,,Pred,0.85,morph_inference,1,G2525,V-PAP-NPM
καθίσεσθε,,,Pred,0.85,morph_inference,1,G2523,V-FDI-2P
ζῳοποιεῖται,,,Pred,0.85,morph_inference,1,G2227,V-PPI-3S
ζῳοποιηθεὶς,,,Pred,0.85,morph_inference,1,G2227,V-APP-NSM
ζῳοποιηθήσονται,,,Pred,0.85,morph_inference,1,G2227,V-FPI-3P
ζῳοποιοῦντος,,,Pred,0.85,morph_inference,1,G2227,V-PAP-GSM
ζῳοποιήσει,,,Pred,0.85,morph_inference,1,G2227,V-FAI-3S
ζῳοποιῆσαι,,,Pred,0.85,morph_inference,1,G2227,V-AAN
κακοποιων,,AdjP,,0.75,morph_inference,1,G2555,A-GPM
κακὸποιός,,AdjP,,0.75,morph_inference,1,G2555,A-NSM
καταβαινέτω,,,Pred,0.85,morph_inference,1,G2597,V-PAM-3S
καταδουλώσωνται,,,Pred,0.85,morph_inference,1,G2615,V-AMS-3P
κατακολουθήσασα,,,Pred,0.85,morph_inference,1,G2628,V-AAP-NSF
κατακριθῆτε,,,Pred,0.85,morph_inference,1,G2632,V-APS-2P
καταλαβόμενος,,,Pred,0.85,morph_inference,1,G2638,V-2AMP-NSM
καταλαλῶσιν,,,Pred,0.85,morph_inference,1,G2635,V-PAS-3P
καταλίποντες,,,Pred,0.85,morph_inference,1,G2641,V-2AAP-NPM
καταμόνας,,AdvP,Cmpl,0.85,morph_inference,1,G2651,ADV
καταναθεματίζειν,,,Pred,0.85,morph_inference,1,G2653,V-PAN
θεομαχωμεν,,,Pred,0.85,morph_inference,1,G2313,V-PAS-1P
θεωροῦντι,,,Pred,0.85,morph_inference,1,G2334,V-PAP-DSM
θεωρήσωσιν,,,Pred,0.85,morph_inference,1,G2334,V-AAS-3P
θεὰν,,NP,,0.85,morph_inference,1,G2299,N-ASF
θηριῷ,,NP,,0.85,morph_inference,1,G2342,N-DSN
γεγραμμένη,,,Pred,0.85,morph_inference,1,G1125,V-RPP-NSF
γενεσίων,,NP,,0.85,morph_inference,1,G1077,N-GPN
γενήματά,,NP,,0.85,morph_inference,1,G1081,N-APN
γεύσεται,,,Pred,0.85,morph_inference,1,G1089,V-FDI-3S
γεύσονται,,,Pred,0.85,morph_inference,1,G1089,V-FDI-3P
γινέσθαι,,,Pred,0.85,morph_inference,1,G1096,V-PDN
κατελήφθην,,,Pred,0.85,morph_inference,1,G2638,V-API-1S
κατεργάσασθαι,,,Pred,0.85,morph_inference,1,G2716,V-ADN
κατεσκαμμένα,,,Pred,0.85,morph_inference,1,G2679,V-RPP-APN
κατείληφθη,,,Pred,0.85,morph_inference,1,G2638,V-API-3S
Λύδδης,,NP,,0.85,capital_name,1,G3069,N-GSF
Μαγδαλά,,NP,,0.85,capital_name,1,G3093,IND
καθίσησθε,,,Pred,0.85,morph_inference,1,G2523,V-ADS-2P
καθῆκον,,,Pred,0.85,morph_inference,1,G2520,V-PP-NSN
καιομένην,,,Pred,0.85,morph_inference,1,G2545,V-PPP-ASF
καιροί,,NP,,0.85,morph_inference,1,G2540,N-NPM
καταξιωθῆτε,,,Pred,0.85,morph_inference,1,G2661,V-APS-2P
καταπατήσωσιν,,,Pred,0.85,morph_inference,1,G2662,V-AAS-3P
καταπίῃ,,,Pred,0.85,morph_inference,1,G2666,V-2AAS-3S
κατατοξευθήσεται,,,Pred,0.85,morph_inference,1,G2700,V-FPI-3S
καταφθαρήσονται,,,Pred,0.85,morph_inference,1,G2704,V-PI-3P
κατεδίωξάν,,,Pred,0.85,morph_inference,1,G2614,V-AAI-3P
κατειχετο,,,Pred,0.85,morph_inference,1,G2722,V-IPI-3S
κατεκληροδότησεν,,,Pred,0.85,morph_inference,1,G2624,V-AAI-3S
δανείζετε,,,Pred,0.85,morph_inference,1,G1155,V-PAM-2P
δανείζητε,,,Pred,0.85,morph_inference,1,G1155,V-PAS-2P
δανείζουσιν,,,Pred,0.85,morph_inference,1,G1155,V-PAI-3P
δανείσασθαι,,,Pred,0.85,morph_inference,1,G1155,V-AMN
δαίμονος,,NP,,0.85,morph_inference,1,G1142,N-GSM
δεκα,,NP,,0.9,morph_inference,1,G1176,IND
γεγενημένα,,,Pred,0.85,morph_inference,1,G1080,V-RPP-NPN
γεγεννήμεθα,,,Pred,0.85,morph_inference,1,G1080,V-RPI-1P
καὶπερ,,,,0.85,morph_inference,1,G2539,CONJ
κειμένος,,,Pred,0.85,morph_inference,1,G2749,V-PDP-NSM
κεκαθαρμένους,,,Pred,0.85,morph_inference,1,G2508,V-RPP-APM
κεκαυτηριασμένων,,,Pred,0.85,morph_inference,1,G2743,V-RPP-GPM
κεκοπίακας,,,Pred,0.85,morph_inference,1,G2872,V-RAI-2S
Μαριὰ,,NP,,0.85,capital_name,1,G3137,N-NSF
Μαριᾴ,,NP,,0.85,capital_name,1,G3137,N-DSF
Μαρίαμ,,NP,,0.85,capital_name,1,G3137,IND
Ματθὰν,,NP,,0.85,capital_name,1,G3157,IND
Ματθάν,,NP,,0.85,capital_name,1,G3157,IND
Μαϊνάν,,NP,,0.85,capital_name,1,G3104,IND
Μεθ᾽,μετά,PP,Cmpl,0.95,elision_map,1,G3326,PREP
Μελχισεδέκ,,NP,,0.85,capital_name,1,G3198,IND
κατηγορῆσαι,,,Pred,0.85,morph_inference,1,G2723,V-AAN
κατορθωμάτων,,NP,,0.85,morph_inference,1,G2735,N-GPN
κατανάθεμα,,NP,,0.85,morph_inference,1,G2652,N-NSN
κλαύσονται,,,Pred,0.85,morph_inference,1,G2799,V-FDI-3P
κληρονομήσῃ,,,Pred,0.85,morph_inference,1,G2816,V-AAS-3S
κλητοί,,AdjP,,0.75,morph_inference,1,G2822,A-NPM
κλώμενον,,,Pred,0.85,morph_inference,1,G2806,V-PPP-NSN
κοινοῦν,,,Pred,0.85,morph_inference,1,G2840,V-PAP-NSN
κολακείας,,NP,,0.85,morph_inference,1,G2850,N-GSF
κατἐβλήθη,,,Pred,0.85,morph_inference,1,G2598,V-API-3S
κατἐργάζεται,,,Pred,0.85,morph_inference,1,G2716,V-PDI-3S
κατὰμόνας,,AdvP,Cmpl,0.85,morph_inference,1,G2651,ADV
κατάβα,,,Pred,0.85,morph_inference,1,G2597,V-2AAM-2S
κατάλειμμα,,NP,,0.85,morph_inference,1,G2640,N-NSN
κατέλιπόν,,,Pred,0.85,morph_inference,1,G2641,V-2AAI-1S
κατένωπιον,,PP,Cmpl,0.9,morph_inference,1,G2714,PREP
κατέστησας,,,Pred,0.85,morph_inference,1,G2525,V-AAI-2S
κατήγορος,,NP,,0.85,morph_inference,1,G2725,N-NSM
καυθήσωμαι,,,Pred,0.85,morph_inference,1,G2545,V-FPS-1S
κραζόντων,,,Pred,0.85,morph_inference,1,G2896,V-PAP-GPM
κριθῆς,,NP,,0.85,morph_inference,1,G2915,N-GSF
κρυπτόν,,AdjP,,0.75,morph_inference,1,G2927,A-ASN
κράζοντα,,,Pred,0.85,morph_inference,1,G2896,V-PAP-NPN
κρέμανται,,,Pred,0.85,morph_inference,1,G2910,V-PPI-3P
κτήσασθε,,,Pred,0.85,morph_inference,1,G2932,V-ADM-2P
κυβείᾳ,,NP,,0.85,morph_inference,1,G2940,N-DSF
κυλλόν,,AdjP,,0.75,morph_inference,1,G2948,A-ASM
κἀκείνοις,,NP,,0.8,morph_inference,1,G2548,D-PRO-DPM
κεκράξονται,,,Pred,0.85,morph_inference,1,G2896,V-DI-3P
κενώσῃ,,,Pred,0.85,morph_inference,1,G2758,V-AAS-3S
κερδηθήσωνται,,,Pred,0.85,morph_inference,1,G2770,V-APS-3P
κερδήσωμεν,,,Pred,0.85,morph_inference,1,G2770,V-AAS-1P
κηρίου,,NP,,0.85,morph_inference,1,G2781,N-GSN
κηρύξουσιν,,,Pred,0.85,morph_inference,1,G2784,V-FAI-3P
κινάμωμον,,NP,,0.85,morph_inference,1,G2792,N-ASN
κύκλοθεν,,AdvP,Cmpl,0.85,morph_inference,1,G2943,ADV
κώμῃ,,NP,,0.85,morph_inference,1,G2968,N-DSF
λαλεῖται,,,Pred,0.85,morph_inference,1,G2980,V-PMI-3S
λαλοῦσα,,,Pred,0.85,morph_inference,1,G2980,V-PAP-NSF
λαλήσαντος,,,Pred,0.85,morph_inference,1,G2980,V-AAP-GSM
λαλήσετε,,,Pred,0.85,morph_inference,1,G2980,V-FAI-2P
λαλήσωσιν,,,Pred,0.85,morph_inference,1,G2980,V-AAS-3P
λαμβανέτω,,,Pred,0.9,strong_phrase_map,1,G2983,V-PAM-3S
λαμμᾶ,,NP,,0.85,morph_inference,1,G2982,HEB
λαμπρὸς,,AdjP,,0.75,morph_inference,1,G2986,A-NSM
λεγεῶνα,,NP,,0.85,morph_inference,1,G3003,N-ASM
κομιούμενοι,,,Pred,0.85,morph_inference,1,G2865,V-FDP-NPM
κοῦμι,,NP,,0.85,morph_inference,1,G2891,ARA
κραββάτοις,,NP,,0.9,strong_phrase_map,1,G2895,N-DPM
κραββάτω,,NP,,0.9,strong_phrase_map,1,G2895,N-DSM
κραββάτων,,NP,,0.9,strong_phrase_map,1,G2895,N-GPM
λεῖμμα,,NP,,0.85,morph_inference,1,G3005,N-NSN
ληψόμεθα,,,Pred,0.9,strong_phrase_map,1,G2983,V-FDI-1P
λιθοβολήσαντες,,,Pred,0.85,morph_inference,1,G3036,V-AAP-NPM
λογισμούς,,NP,,0.85,morph_inference,1,G3053,N-APM
λογὸν,,NP,,0.85,morph_inference,1,G3056,N-ASM
λοιμοί,,NP,,0.85,morph_inference,1,G3061,N-NPM
λούσαντι,,,Pred,0.85,morph_inference,1,G3068,V-AAP-DSM
λάμψαι,,,Pred,0.85,morph_inference,1,G2989,V-AAN
λὲγει,,,Pred,0.85,morph_inference,1,G3004,V-PAI-3S
λὲγω,,,Pred,0.85,morph_inference,1,G3004,V-PAI-1S
λέγεῖ,,,Pred,0.85,morph_inference,1,G3004,V-PAI-3S
κέκμηκας,,,Pred,0.85,morph_inference,1,G2577,V-RAI-2S
κέρμα,,NP,,0.85,morph_inference,1,G2772,N-ASN
κόκκινῳ,,AdjP,,0.75,morph_inference,1,G2847,A-DSN
κόπριαν,,NP,,0.85,morph_inference,1,G2874,N-ASF
κὺλισμα,,NP,,0.85,morph_inference,1,G2946,N-ASN
λὶθος,,NP,,0.85,morph_inference,1,G3037,N-NSM
λίθῷ,,NP,,0.85,morph_inference,1,G3037,N-DSM
μαγείαις,,NP,,0.85,morph_inference,1,G3095,N-DPF
μαμμωνᾷ,,NP,,0.85,morph_inference,1,G3126,N-DSN
μαρτυρούμενοι,,,Pred,0.85,morph_inference,1,G3140,V-PMP-NPM
μεγαλειότητα,,NP,,0.85,morph_inference,1,G3168,N-ASF
μεγάλαυχεῖ,,,Pred,0.85,morph_inference,1,G3166,V-PAI-3S
μεγάλεῖα,,AdjP,,0.75,morph_inference,1,G3167,A-APN
μεθιστάνειν,,,Pred,0.85,morph_inference,1,G3179,V-PAN
μεθοδείαν,,NP,,0.85,morph_inference,1,G3180,N-ASF
μεθοδείας,,NP,,0.85,morph_inference,1,G3180,N-APF
λεγεῶνας,,NP,,0.85,morph_inference,1,G3003,N-APM
λεγόντας,,,Pred,0.85,morph_inference,1,G3004,V-PAP-APM
λεγόντος,,,Pred,0.85,morph_inference,1,G3004,V-PAP-GSM
λελουμένοι,,,Pred,0.85,morph_inference,1,G3068,V-RPP-NPM
λευκῇ,,AdjP,,0.75,morph_inference,1,G3022,A-DSF
μελλείν,,,Pred,0.85,morph_inference,1,G3195,V-PAN
μεμερίσται,,,Pred,0.85,morph_inference,1,G3307,V-RPI-3S
μεμιασμένοις,,,Pred,0.85,morph_inference,1,G3392,V-RPP-DPM
μεμνηστευμένην,,,Pred,0.85,morph_inference,1,G3423,V-RPP-ASF
μεμνηστευμένῃ,,,Pred,0.85,morph_inference,1,G3423,V-RPP-DSF
μεν,,,,0.8,morph_inference,1,G3303,PRT
μεταβαλλόμενοι,,,Pred,0.85,morph_inference,1,G3328,V-PMP-NPM
μεταστραφήτω,,,Pred,0.85,morph_inference,1,G3344,V-2APM-3S
μετενόησεν,,,Pred,0.85,morph_inference,1,G3340,V-AAI-3S
μετά,,PP,Cmpl,0.9,strong_phrase_map,1,G3326,PREP
μετάληψιν,,NP,,0.85,morph_inference,1,G3336,N-ASF
μεὶναντες,,,Pred,0.85,morph_inference,1,G3306,V-AAP-NPM
λέγεῖν,,,Pred,0.85,morph_inference,1,G3004,V-PAN
λέγοντων,,,Pred,0.85,morph_inference,1,G3004,V-PAP-GPM
λήψεως,,NP,,0.85,morph_inference,1,G3028,N-GSF
λὶθον,,NP,,0.85,morph_inference,1,G3037,N-ASM
βλασφημούμενοι,,,Pred,0.85,morph_inference,1,G987,V-PPP-NPM
βλασφημὶας,,NP,,0.85,morph_inference,1,G988,N-APF
βλεπόντες,,,Pred,0.85,morph_inference,1,G991,V-PAP-NPM
βλάψει,,,Pred,0.85,morph_inference,1,G984,V-FAI-3S
βλέψουσιν,,,Pred,0.85,morph_inference,1,G991,V-FAI-3P
βολίδι,,NP,,0.85,morph_inference,1,G1002,N-DSF
βοσκομένων,,,Pred,0.85,morph_inference,1,G1006,V-PPP-GPM
βουλευόμενος,,,Pred,0.85,morph_inference,1,G1011,V-PDP-NSM
βουλεύεται,,,Pred,0.85,morph_inference,1,G1011,V-PDI-3S
μάρτυρεῖτε,,,Pred,0.85,morph_inference,1,G3140,V-PAI-2P
μὲλλει,,,Pred,0.85,morph_inference,1,G3195,V-PAI-3S
μέγαλην,,AdjP,,0.75,morph_inference,1,G3173,A-ASF
μέλλοντές,,,Pred,0.85,morph_inference,1,G3195,V-PAP-NPM
μεθόρια,,NP,,0.85,morph_inference,1,G3181,N-APN
μελετᾶτε,,,Pred,0.85,morph_inference,1,G3191,V-PAM-2P
μελισσίου,,AdjP,,0.75,morph_inference,1,G3193,A-GSN
μη,,,,0.8,morph_inference,1,G3361,PRT
μητραλῴαις,,NP,,0.85,morph_inference,1,G3389,N-DPM
μητρόπολις,,NP,,0.85,morph_inference,1,G3390,N-NSF
μητὲ,,,,0.85,morph_inference,1,G3383,CONJ
μισοῦντας,,,Pred,0.85,morph_inference,1,G3404,V-PAP-APM
μνήμείοις,,NP,,0.85,morph_inference,1,G3419,N-DPN
μνῆματα,,NP,,0.85,morph_inference,1,G3418,N-APN
μοιχεία,,NP,,0.85,morph_inference,1,G3430,N-NSF
μοιχᾶσθαι,,,Pred,0.85,morph_inference,1,G3429,V-PDN
γινόνται,,,Pred,0.85,morph_inference,1,G1096,V-PDI-3P
γινώσκομαι,,,Pred,0.85,morph_inference,1,G1097,V-PPI-1S
γινώσκωμεν,,,Pred,0.85,morph_inference,1,G1097,V-PAS-1P
γνούς,,,Pred,0.85,morph_inference,1,G1097,V-2AAP-NSM
γνωριοῦσιν,,,Pred,0.85,morph_inference,1,G1107,V-FAI-3P
γυμνητεύομεν,,,Pred,0.85,morph_inference,1,G1130,V-PAI-1P
βλαστάνῃ,,,Pred,0.85,morph_inference,1,G985,V-PAS-3S
μέσῶ,,AdjP,,0.75,morph_inference,1,G3319,A-DSN
μέτωπων,,NP,,0.85,morph_inference,1,G3359,N-GPN
μὴτὲ,,,,0.85,morph_inference,1,G3383,CONJ
μήποτέ,,AdvP,Cmpl,0.9,strong_phrase_map,1,G3379,ADV
μόγις,,AdvP,Cmpl,0.85,morph_inference,1,G3425,ADV
μύλικὸς,,AdjP,,0.75,morph_inference,1,G3457,A-NSM
μύλον,,NP,,0.85,morph_inference,1,G3458,N-ASM
μύλωνι,,NP,,0.85,morph_inference,1,G3459,N-DSM
νενομοθέτητο,,,Pred,0.85,morph_inference,1,G3549,V-LPI-3S
νεοσσοὺς,,NP,,0.85,morph_inference,1,G3502,N-APM
νηφαλέους,,AdjP,,0.75,morph_inference,1,G3524,A-APM
νηφάλεον,,AdjP,,0.75,morph_inference,1,G3524,A-ASM
νικήσῃς,,,Pred,0.85,morph_inference,1,G3528,V-AAS-2S
νουθετῶ,,,Pred,0.85,morph_inference,1,G3560,V-PAI-1S
νουμηνίας,,NP,,0.85,morph_inference,1,G3561,N-GSF
μεῖζών,,AdjP,,0.75,morph_inference,1,G3187,A-NSM
νυνί,,AdvP,Cmpl,0.85,morph_inference,1,G3570,ADV
νὺν,,AdvP,Cmpl,0.85,morph_inference,1,G3568,ADV
νῦνὶ,,AdvP,Cmpl,0.85,morph_inference,1,G3570,ADV
ξυρήσωνται,,,Pred,0.85,morph_inference,1,G3587,V-ADS-3P
οκτὼ,,NP,,0.9,morph_inference,1,G3638,IND
οἰδατε,,,Pred,0.85,morph_inference,1,G1492,V-RAI-2P
οἰκοδομουμέναι,,,Pred,0.85,morph_inference,1,G3618,V-PPP-NPF
οἰκοδόμούντων,,,Pred,0.85,morph_inference,1,G3618,V-PAP-GPM
οἰκος,,NP,,0.85,morph_inference,1,G3624,N-NSM
οἰκουρούς,,AdjP,,0.75,morph_inference,1,G3626,A-APF
οἰκέτου,,NP,,0.85,morph_inference,1,G3610,N-GSM
οἰκός,,NP,,0.85,morph_inference,1,G3624,N-NSM
οἰνος,,NP,,0.85,morph_inference,1,G3631,N-NSM
οἵου,,NP,,0.8,morph_inference,1,G3634,COR-GSN
οἶκὶαν,,NP,,0.85,morph_inference,1,G3614,N-ASF
οὐδε,,AdvP,Cmpl,0.85,morph_inference,1,G3761,ADV
παντές,,NP,,0.9,strong_phrase_map,1,G3956,A-NPM
παραβαίνων,,,Pred,0.85,morph_inference,1,G3845,V-PAP-NSM
παραβολής,,NP,,0.85,morph_inference,1,G3850,N-GSF
παραβουλευσάμενος,,,Pred,0.85,morph_inference,1,G3851,V-ADP-NSM
οὐδεμια,,AdjP,,0.75,morph_inference,1,G3762,A-NSF
οὐδέ,,AdvP,Cmpl,0.85,morph_inference,1,G3761,ADV
οὐδ᾽,οὐδέ,,,0.95,elision_map,1,G3761,ADV
οὐρανοις,,NP,,0.85,morph_inference,1,G3772,N-DPM
οὐρανῳ,,NP,,0.85,morph_inference,1,G3772,N-DSM
οὐτοὶ,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-NPM
οὐτὸς,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-NSM
οὐχι,,,,0.8,morph_inference,1,G3780,PRT
οὑτοί,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-NPM
οὒτε,,,,0.85,morph_inference,1,G3777,CONJ
οὔδε,,AdvP,Cmpl,0.85,morph_inference,1,G3761,ADV
οὕτος,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-NSM
παραλήψομαι,,,Pred,0.85,morph_inference,1,G3880,V-FDI-1S
παραρρυῶμεν,,,Pred,0.85,morph_inference,1,G3901,V-2AAS-1P
παραχρῆμά,,AdvP,Cmpl,0.85,morph_inference,1,G3916,ADV
παρεδίδοτο,,,Pred,0.85,morph_inference,1,G3860,V-IPI-3S
οὖ,,,,0.8,morph_inference,1,G3756,PRT
οὖκ,,,,0.8,morph_inference,1,G3756,PRT
οὖτε,,,,0.85,morph_inference,1,G3777,CONJ
οὺν,,,,0.9,strong_phrase_map,1,G3767,CONJ
οῦν,,,,0.9,strong_phrase_map,1,G3767,CONJ
παιδαρίοις,,NP,,0.85,morph_inference,1,G3808,N-DPN
παλιγγενεσίας,,NP,,0.85,morph_inference,1,G3824,N-GSF
παλιγγενεσίᾳ,,NP,,0.85,morph_inference,1,G3824,N-DSF
παμπληθεὶ,,AdvP,Cmpl,0.85,morph_inference,1,G3826,ADV
παμπολλοῦ,,AdjP,,0.75,morph_inference,1,G3827,A-GSM
πανοικὶ,,AdvP,Cmpl,0.85,morph_inference,1,G3832,ADV
πανταχόθεν,,AdvP,Cmpl,0.85,morph_inference,1,G3836,ADV
παρέξει,,,Pred,0.85,morph_inference,1,G3930,V-FAI-3S
παρίστησιν,,,Pred,0.85,morph_inference,1,G3936,V-PAI-3S
παρῆγεν,,,Pred,0.85,morph_inference,1,G3855,V-IAI-3S
πατραλῴαις,,NP,,0.85,morph_inference,1,G3964,N-DPM
πατάσσῃ,,,Pred,0.85,morph_inference,1,G3960,V-AAS-3S
πατὲρα,,NP,,0.85,morph_inference,1,G3962,N-ASM
πεισθέντες,,,Pred,0.85,morph_inference,1,G3982,V-APP-NPM
παραβάλωμεν,,,Pred,0.85,morph_inference,1,G3846,V-2AAS-1P
παραδεδωκόσιν,,,Pred,0.85,morph_inference,1,G3860,V-RAP-DPM
παραδειγματίσαι,,,Pred,0.85,morph_inference,1,G3856,V-AAN
παραδείσου,,NP,,0.85,morph_inference,1,G3857,N-GSM
παραδιατριβαὶ,,NP,,0.85,morph_inference,1,G3859,N-NPF
παραδιδῶσιν,,,Pred,0.85,morph_inference,1,G3860,V-PAS-3P
παραθήσομαι,,,Pred,0.85,morph_inference,1,G3908,V-FDI-1S
παρακαθίσασα,,,Pred,0.85,morph_inference,1,G3869,V-AAP-NSF
παραληφθησεται,,,Pred,0.85,morph_inference,1,G3880,V-FPI-3S
περιπεπατήκει,,,Pred,0.85,morph_inference,1,G4043,V-LAI-3S
περιρρήξαντες,,,Pred,0.85,morph_inference,1,G4048,V-AAP-NPM
περισσεύουσιν,,,Pred,0.85,morph_inference,1,G4052,V-PAI-3P
περιφερόμεναι,,,Pred,0.85,morph_inference,1,G4064,V-PPP-NPF
περιφέρεσθε,,,Pred,0.85,morph_inference,1,G4064,V-PPM-2P
περιέχουσαν,,,Pred,0.85,morph_inference,1,G4023,V-PAP-ASF
περίλυπον,,AdjP,,0.75,morph_inference,1,G4036,A-ASM
πετωμένοις,,,Pred,0.85,morph_inference,1,G4072,V-PDP-DPN
παρεισέδυσαν,,,Pred,0.85,morph_inference,1,G3921,V-AAI-3P
παρελθέτω,,,Pred,0.85,morph_inference,1,G3928,V-2AAM-3S
παρενεγκεῖν,,,Pred,0.85,morph_inference,1,G3911,V-2AAN
παρεστηκόσιν,,,Pred,0.85,morph_inference,1,G3936,V-RAP-DPM
παρετηροῦν,,,Pred,0.85,morph_inference,1,G3906,V-IAI-3P
παρεῖχον,,,Pred,0.85,morph_inference,1,G3930,V-IAI-3P
παρηκολούθηκάς,,,Pred,0.85,morph_inference,1,G3877,V-RAI-2S
παροξυσμὸς,,NP,,0.85,morph_inference,1,G3948,N-NSM
πλεονεξίαις,,NP,,0.85,morph_inference,1,G4124,N-DPF
πλεῖονα,,AdjP,,0.75,morph_inference,1,G4119,A-APN
πληθυναῖ,,,Pred,0.85,morph_inference,1,G4129,V-AAO-3S
πλημμύρας,,NP,,0.85,morph_inference,1,G4132,N-GSF
πληρεις,,AdjP,,0.75,morph_inference,1,G4134,A-APM
πληροῦται,,,Pred,0.85,morph_inference,1,G4137,V-PPI-3S
πληρωσονται,,,Pred,0.85,morph_inference,1,G4137,V-FDI-3P
πλήσαντες,,,Pred,0.85,morph_inference,1,G4130,V-AAP-NPM
πεντηκοντατριῶν,,AdjP,,0.75,morph_inference,1,G4004,A-GPM
