word,strong,count,example_book,example_chapter,example_verse
μνήμείοις,G3419,1,MAR,5,3
μνῆματα,G3418,1,REV,11,9
μοιχεία,G3430,1,GAL,5,19
μοιχᾶσθαι,G3429,1,MAT,5,32
γινόνται,G1096,1,MAR,6,2
γινώσκομαι,G1097,1,JHN,10,14
γινώσκωμεν,G1097,1,1JN,5,20
γνούς,G1097,1,LUK,12,48
γνωριοῦσιν,G1107,1,COL,4,9
γυμνητεύομεν,G1130,1,1CO,4,11
βλαστάνῃ,G985,1,MAR,4,27
μέσῶ,G3319,1,REV,2,7
μέτωπων,G3359,1,REV,13,16
μὴτὲ,G3383,1,LUK,7,33
μήποτέ,G3379,1,MAT,5,25
μόγις,G3425,1,LUK,9,39
μύλικὸς,G3457,1,MAR,9,42
μύλον,G3458,1,REV,18,21
μύλωνι,G3459,1,MAT,24,41
νενομοθέτητο,G3549,1,HEB,7,11
νεοσσοὺς,G3502,1,LUK,2,24
νηφαλέους,G3524,1,1TI,3,11
νηφάλεον,G3524,1,1TI,3,2
νικήσῃς,G3528,1,ROM,3,4
νουθετῶ,G3560,1,1CO,4,14
νουμηνίας,G3561,1,COL,2,16
μεῖζών,G3187,1,JHN,10,29
νυνί,G3570,1,COL,1,21
νὺν,G3568,1,ACT,2,33
νῦνὶ,G3570,1,1CO,5,11
ξυρήσωνται,G3587,1,ACT,21,24
οκτὼ,G3638,1,LUK,13,4
οἰδατε,G1492,1,LUK,9,55
οἰκοδομουμέναι,G3618,1,ACT,9,31
οἰκοδόμούντων,G3618,1,ACT,4,11
οἰκος,G3624,1,LUK,19,46
οἰκουρούς,G3626,1,TIT,2,5
οἰκέτου,G3610,1,PHM,1,25
οἰκός,G3624,1,LUK,19,46
οἰνος,G3631,1,MAT,9,17
οἵου,G3634,1,LUK,9,55
οἶκὶαν,G3614,1,LUK,7,36
οὐδε,G3761,1,MAR,11,26
παντές,G3956,1,MAR,1,27
παραβαίνων,G3845,1,2JN,1,9
παραβολής,G3850,1,MAR,7,17
παραβουλευσάμενος,G3851,1,PHP,2,30
οὐδεμια,G3762,1,JAS,3,12
οὐδέ,G3761,1,MAR,14,68
οὐδ᾽,G3761,1,HEB,9,18
οὐρανοις,G3772,1,LUK,11,2
οὐρανῳ,G3772,1,LUK,11,2
οὐτοὶ,G3778,1,LUK,13,4
οὐτὸς,G3778,1,MAR,8,35
οὐχι,G3780,1,2CO,10,13
οὑτοί,G3778,1,MAR,4,18
οὒτε,G3777,1,MAR,5,3
οὔδε,G3761,1,ACT,2,31
οὕτος,G3778,1,REV,3,5
παραλήψομαι,G3880,1,JHN,14,3
παραρρυῶμεν,G3901,1,HEB,2,1
παραχρῆμά,G3916,1,ACT,13,11
παρεδίδοτο,G3860,1,1CO,11,23
οὖ,G3756,1,MAT,11,20
οὖκ,G3756,1,MAR,11,26
οὖτε,G3777,1,1CO,3,2
οὺν,G3767,1,2PE,3,11
οῦν,G3767,1,MAR,3,31
παιδαρίοις,G3808,1,MAT,11,16
παλιγγενεσίας,G3824,1,TIT,3,5
παλιγγενεσίᾳ,G3824,1,MAT,19,28
παμπληθεὶ,G3826,1,LUK,23,18
παμπολλοῦ,G3827,1,MAR,8,1
πανοικὶ,G3832,1,ACT,16,34
πανταχόθεν,G3836,1,MAR,1,45
παρέξει,G3930,1,LUK,7,4
παρίστησιν,G3936,1,1CO,8,8
παρῆγεν,G3855,1,JHN,8,59
πατραλῴαις,G3964,1,1TI,1,9
πατάσσῃ,G3960,1,REV,19,15
πατὲρα,G3962,1,ACT,16,3
πεισθέντες,G3982,1,HEB,11,13
παραβάλωμεν,G3846,1,MAR,4,30
παραδεδωκόσιν,G3860,1,ACT,15,26
παραδειγματίσαι,G3856,1,MAT,1,19
παραδείσου,G3857,1,REV,2,7
παραδιατριβαὶ,G3859,1,1TI,6,5
παραδιδῶσιν,G3860,1,MAT,10,19
παραθήσομαι,G3908,1,LUK,23,46
παρακαθίσασα,G3869,1,LUK,10,39
παραληφθησεται,G3880,1,LUK,17,36
περιπεπατήκει,G4043,1,ACT,14,8
περιρρήξαντες,G4048,1,ACT,16,22
περισσεύουσιν,G4052,1,LUK,15,17
περιφερόμεναι,G4064,1,JUD,1,12
περιφέρεσθε,G4064,1,HEB,13,9
περιέχουσαν,G4023,1,ACT,23,25
περίλυπον,G4036,1,LUK,18,24
πετωμένοις,G4072,1,REV,19,17
παρεισέδυσαν,G3921,1,JUD,1,4
παρελθέτω,G3928,1,MAT,26,39
παρενεγκεῖν,G3911,1,LUK,22,42
παρεστηκόσιν,G3936,1,MAR,14,69
παρετηροῦν,G3906,1,ACT,9,24
παρεῖχον,G3930,1,ACT,28,2
παρηκολούθηκάς,G3877,1,2TI,3,10
παροξυσμὸς,G3948,1,ACT,15,39
πλεονεξίαις,G4124,1,2PE,2,14
πλεῖονα,G4119,1,MAT,20,10
πληθυναῖ,G4129,1,2CO,9,10
πλημμύρας,G4132,1,LUK,6,48
πληρεις,G4134,1,MAR,6,43
πληροῦται,G4137,1,GAL,5,14
πληρωσονται,G4137,1,REV,6,11
πλήσαντες,G4130,1,JHN,19,29
πεντηκοντατριῶν,G4004,1,JHN,21,11
πεπειραμένον,G3987,1,HEB,4,15
πεπυρωμένοι,G4448,1,REV,1,15
πεπώρωκεν,G4456,1,JHN,12,40
περιβαλοῦσιν,G4016,1,LUK,19,43
περιδραμόντες,G4063,1,MAR,6,55
περιπατήσαντες,G4043,1,HEB,13,9
περιπατήσει,G4043,1,JHN,8,12
πορρωτέρω,G4208,1,LUK,24,28
πορφύρᾳ,G4209,1,REV,17,4
ποτὴριον,G4221,1,MAT,26,42
ποὶα,G4169,1,MAR,4,30
προαιρεῖται,G4255,1,2CO,9,7
προεβίβασαν,G4264,1,ACT,19,33
προειρηκέναι,G4280,1,HEB,10,15
προεφητεύσαμεν,G4395,1,MAT,7,22
προεφήτευον,G4395,1,ACT,19,6
πετωμένου,G4072,1,REV,8,13
πετωμένῳ,G4072,1,REV,4,7
πετώμενον,G4072,1,REV,14,6
πιστευσόντων,G4100,1,JHN,17,20
πιστεύσατε,G4100,1,JHN,10,38
πλανώμενα,G4105,1,1PE,2,25
πλανᾶσθαι,G4105,1,REV,2,20
προσαναλώσασα,G4321,1,LUK,8,43
προσεγγίσαι,G4331,1,MAR,2,4
προσεδρεύοντες,G4332,1,1CO,9,13
προσειργάσατο,G4333,1,LUK,19,16
προσεκολλήθη,G4347,1,ACT,5,36
προσεποιεῖτο,G4364,1,LUK,24,28
προσευχή,G4335,1,ACT,16,13
προσεύχομενοι,G4336,1,MAR,11,24
προσηυξάμεθα,G4336,1,ACT,21,5
ποιησόμεν,G4160,1,JHN,14,23
ποιήσαι,G4160,1,MAR,10,36
ποιήσειαν,G4160,1,LUK,6,11
πολυ,G4183,1,1PE,1,7
πορευθέντα,G4198,1,ACT,27,3
πορευομέναι,G4198,1,ACT,9,31
πορευσώμεθα,G4198,1,JAS,4,13
βαπτίστου,G910,1,MAR,6,24
βαπτίσωνται,G907,1,MAR,7,4
βαρυνθῶσιν,G925,1,LUK,21,34
βασανισθῶσιν,G928,1,REV,9,5
βασιλεύσομεν,G936,1,REV,5,10
προσώπον,G4383,1,ACT,17,26
προσῆλθόν,G4334,1,LUK,13,31
προτεταγμένους,G4384,1,ACT,17,26
προέτεινεν,G4385,1,ACT,22,25
πρωίᾳ,G4405,1,JHN,18,28
προεφήτευσαν,G4395,1,MAT,11,13
προκατηγγελμένην,G4293,1,2CO,9,5
προκατήγγειλαν,G4293,1,ACT,3,24
προκεκηρυγμένον,G4296,1,ACT,3,20
προληφθῇ,G4301,1,GAL,6,1
προνοοῦμενοι,G4306,1,2CO,8,21
προσλαβεῖν,G4355,1,ACT,27,34
προσφέρωσιν,G4374,1,LUK,12,11
προσωποληπτεῖτε,G4380,1,JAS,2,9
προσωποληψίαις,G4382,1,JAS,2,1
προσωπολήπτης,G4381,1,ACT,10,34
προσέπεσον,G4363,1,MAT,7,25
προσέπιπτεν,G4363,1,MAR,3,11
βουλή,G1012,1,ACT,4,28
βάλειν,G906,1,REV,2,10
βέβληκεν,G906,1,MAR,12,43
βύσσου,G1040,1,REV,18,12
γαμηθῆ,G1060,1,MAR,10,12
βαθέος,G901,1,LUK,24,1
βαλαντίου,G905,1,LUK,22,35
βαλάντια,G905,1,LUK,12,33
βαλόντων,G906,1,MAR,12,43
πάσαν,G3956,1,JHN,16,13
πράττειν,G4238,1,ACT,19,36
πράττουσιν,G4238,1,ACT,17,7
πρὸσλαβοῦ,G4355,1,PHM,1,12
πρόσληψις,G4356,1,ROM,11,15
πρώρας,G4408,1,ACT,27,30
πρώτον,G4412,1,ACT,11,26
πρώϊμον,G4406,1,JAS,5,7
πρᾳέος,G4239,1,1PE,3,4
πρᾳότης,G4236,1,GAL,5,23
πρᾶότητι,G4236,1,2TI,2,25
πρᾷός,G4235,1,MAT,11,29
πταίσει,G4417,1,JAS,2,10
Κίς,G2797,1,ACT,13,21
προσκυνοῦσιν,G4352,1,REV,4,10
προσκυνήσαντες,G4352,1,LUK,24,52
σείω,G4579,1,HEB,12,26
σηρικοῦ,G4596,1,REV,18,12
σθενώσαι,G4599,1,1PE,5,10
σκηνή,G4633,1,HEB,9,1
σκότῳ,G4655,1,HEB,12,18
σοφῶ,G4680,1,1TI,1,17
Κῶν,G2972,1,ACT,21,1
Λαοδίκειαν,G2993,1,REV,1,11
Λεββαῖος,G3002,1,MAT,10,3
Λεγεὼν,G3003,1,MAR,5,9
Λεγεών,G3003,1,LUK,8,30
Λευιτικῆς,G3020,1,HEB,7,11
Λευὶς,G3018,1,LUK,5,29
Λευίτας,G3019,1,JHN,1,19
Λουκᾶ,G3065,1,2CO,13,14
πυθέσθαι,G4441,1,JHN,13,24
αὑτη,G3778,1,MAR,1,27
αὑτῆς,G846,1,LUK,10,38
συγγενεία,G4772,1,LUK,1,61
συγγενής,G4773,1,LUK,1,36
συγγνώμην,G4774,1,1CO,7,6
συγκαθισάντων,G4776,1,LUK,22,55
συγκαθήμενοι,G4775,1,ACT,26,30
πὲρι,G4012,1,ACT,19,39
πέπωκεν,G4095,1,REV,18,3
πέτραιςμ,G4073,1,REV,6,16
πίειν,G4095,1,ACT,23,12
ρμδ᾽,G1540,1,REV,7,4
σαρδίνῳ,G4555,1,REV,4,3
σαρκίκης,G4559,1,HEB,7,16
σαυτὸν,G4572,1,ROM,14,22
σειραῖς,G4577,1,2PE,2,4
σπείροντος,G4687,1,MAT,13,18
σταυρόν,G4716,1,MAR,10,21
στοιβάδας,G4746,1,MAR,11,8
στολαὶ,G4749,1,REV,6,11
στρατοπεδάρχῃ,G4759,1,ACT,28,16
στραφείς,G4762,1,LUK,10,22
συ,G4771,1,PHM,1,12
βασιλεῖαι,G932,1,REV,11,15
βαστάσασιν,G941,1,MAT,20,12
βατράχοις,G944,1,REV,16,13
βαττολογήσητε,G945,1,MAT,6,7
βεβαρήμενοι,G916,1,MAR,14,40
αὐξήσαι,G837,1,2CO,9,10
αὐτοίς,G846,1,ACT,13,19
αὐτοῦς,G846,1,ACT,16,40
αὐτή,G846,1,LUK,19,41
συζητητὴς,G4804,1,1CO,1,20
συγκαθήμενος,G4775,1,MAR,14,54
συγκακοπάθησον,G4777,1,2TI,1,8
συγκακουχεῖσθαι,G4778,1,HEB,11,25
συγκαλεῖ,G4779,1,LUK,15,6
συγκαλεῖται,G4779,1,LUK,15,9
συγκαλοῦσιν,G4779,1,MAR,15,16
συγκαλέσασθαι,G4779,1,ACT,28,17
συγκαταβάντες,G4782,1,ACT,25,5
συγκατατεθειμένος,G4784,1,LUK,23,51
συγκατεψηφίσθη,G4785,1,ACT,1,26
συγκατάθεσις,G4783,1,2CO,6,16
συγκεκλεισμένοι,G4788,1,GAL,3,23
συγκεκραμένος,G4786,1,HEB,4,2
συγκληρονόμα,G4789,1,EPH,3,6
σπεκουλάτωρα,G4688,1,MAR,6,27
συλλυπούμενος,G4818,1,MAR,3,5
συλλήψῃ,G4815,1,LUK,1,31
συμβασιλεύσομεν,G4821,1,2TI,2,12
συμβασιλεύσωμεν,G4821,1,1CO,4,8
συγκληρονόμων,G4789,1,HEB,11,9
συγκοινωνεῖτε,G4790,1,EPH,5,11
συγκοινωνούς,G4791,1,PHP,1,7
συγκοινωνήσαντές,G4790,1,PHP,4,14
συγκοινωνήσητε,G4790,1,REV,18,4
συγκρῖναι,G4793,1,2CO,10,12
συγκέχυται,G4797,1,ACT,21,31
συγκύπτουσα,G4794,1,LUK,13,11
συγχαίρετέ,G4796,1,PHP,2,18
συγχαίρω,G4796,1,PHP,2,17
συγχρῶνται,G4798,1,JHN,4,9
συζητεῖτε,G4802,1,MAR,9,16
συμμέτοχα,G4830,1,EPH,3,6
συμμέτοχοι,G4830,1,EPH,5,7
συμπαθῆσαι,G4834,1,HEB,4,15
συμπαραγενόμενοι,G4836,1,LUK,23,48
συμπαρακληθῆναι,G4837,1,ROM,1,12
συμπαραλαβόντες,G4838,1,ACT,12,25
συμπαραλαβὼν,G4838,1,GAL,2,1
συζητούντων,G4802,1,MAR,12,28
συζητοῦντας,G4802,1,MAR,9,14
συζήτησιν,G4803,1,ACT,28,29
συζῆν,G4800,1,2CO,7,3
συκομωραίαν,G4809,1,LUK,19,4
συλλαλήσας,G4814,1,ACT,25,12
συλλαμβάνου,G4815,1,PHP,4,3
συλληφθέντα,G4815,1,ACT,23,27
συλληφθῆναι,G4815,1,LUK,2,21
συμπορεύονται,G4848,1,MAR,10,1
συμπρεσβύτερος,G4850,1,1PE,5,1
συμπάσχει,G4841,1,1CO,12,26
συμπάσχομεν,G4841,1,ROM,8,17
συμφυεῖσαι,G4855,1,LUK,8,7
συμφωνει,G4856,1,LUK,5,36
συνακολουθήσασαι,G4870,1,LUK,23,49
συναναμίγνυσθε,G4874,1,2TH,3,14
συναξεῖ,G4863,1,LUK,3,17
συναχθήσεται,G4863,1,MAT,25,32
συμβιβασθέντων,G4822,1,COL,2,2
συμβάλλουσα,G4820,1,LUK,2,19
συμμαθηταῖς,G4827,1,JHN,11,16
συμμαρτυρεῖ,G4828,1,ROM,8,16
συμμερίζονται,G4829,1,1CO,9,13
συμμορφούμενος,G4833,1,PHP,3,10
συνιοῦσιν,G4920,1,2CO,10,12
συνιέντες,G4920,1,EPH,5,17
συνιών,G4920,1,MAT,13,23
συντετμημένον,G4932,1,ROM,9,28
συντετριμμένους,G4937,1,LUK,4,18
συνάγεσθε,G4863,1,REV,19,17
συνάντησιν,G4877,1,MAT,8,34
συνέβαινον,G4819,1,1CO,10,11
συνέβαλεν,G4820,1,ACT,20,14
συνέβαλον,G4820,1,ACT,4,15
συμπαραμενῶ,G4839,1,PHP,1,25
συμπαρεγένετο,G4836,1,2TI,4,16
συμπαρόντες,G4840,1,ACT,25,24
συμπνίγονται,G4846,1,LUK,8,14
συμπνίγουσιν,G4846,1,MAR,4,19
συμπολῖται,G4847,1,EPH,2,19
συσταυρωθέντος,G4957,1,JHN,19,32
συστενάζει,G4959,1,ROM,8,22
συστοιχεῖ,G4960,1,GAL,4,25
συστρατιώτην,G4961,1,PHP,2,25
συσχηματίζεσθε,G4964,1,ROM,12,2
σφραγὶς,G4973,1,1CO,9,2
σφραγίζωμεν,G4972,1,REV,7,3
σφραγίσεται,G4972,1,2CO,11,10
σφάξωσιν,G4969,1,REV,6,4
σφῦρα,G4974,1,ACT,3,7
σχολάζητε,G4980,1,1CO,7,5
συνεζωποίησεν,G4806,1,COL,2,13
συνειδυίας,G4894,1,ACT,5,2
συνετέλεσεν,G4931,1,MAT,7,28
συνείληφυῖα,G4815,1,LUK,1,36
συνηθροισμένους,G4867,1,LUK,24,33
σύγκαμψον,G4781,1,ROM,11,10
σύζυγε,G4805,1,PHP,4,3
σύμφερον,G4851,1,1CO,10,33
σύμφημι,G4852,1,ROM,7,16
σύμψυχοι,G4861,1,PHP,2,2
σύσσωμα,G4954,1,EPH,3,6
σῖτά,G4621,1,ACT,7,12
σῴζεται,G4982,1,1PE,4,18
ταμιεῖόν,G5009,1,MAT,6,6
ταραχαί,G5016,1,MAR,13,8
ταὐτὰ,G5023,1,REV,10,4
συνέχυνεν,G4797,1,ACT,9,22
συνήλασεν,G4900,1,ACT,7,26
συνίστων,G4921,1,2CO,10,18
συστασιαστῶν,G4955,1,MAR,15,7
συσταυρωθέντες,G4957,1,MAT,27,44
απέθανεν,G599,1,LUK,20,30
απέκρυψας,G613,1,MAT,11,25
αρχῆς,G746,1,2TH,2,13
αυτῶν,G846,1,REV,12,10
αφεθησεται,G863,1,LUK,17,36
αἰτιάματα,G157,1,ACT,25,7
αἰτήσομαι,G154,1,MAR,6,24
αἰχμαλωτεύοντες,G162,1,2TI,3,6
τετηρήκασιν,G5083,1,JHN,17,6
τετηρήκεν,G5083,1,JHN,12,7
τετράμηνόν,G5072,1,JHN,4,35
τετράρχου,G5076,1,ACT,13,1
σχίζει,G4977,1,LUK,5,36
σωζομένων,G4982,1,REV,21,24
σάρδιος,G4556,1,REV,21,20
σάρκικός,G4559,1,ROM,7,14
τυρβάζῃ,G5182,1,LUK,10,41
ταὐτῆς,G3778,1,HEB,12,15
ταύτη,G3778,1,MAR,14,27
τεθνηκώς,G2348,1,JHN,12,1
τεθνάναι,G2348,1,ACT,14,19
τελειοῦται,G5048,1,2CO,12,9
τεσσαρακονταετὴς,G5063,1,ACT,7,23
τεσσαρακονταετῆ,G5063,1,ACT,13,18
τετηρημένους,G5083,1,2PE,2,4
αὔτοις,G846,1,COL,3,7
αὖτοῖς,G846,1,MAT,20,6
αὖτὸν,G846,1,LUK,23,39
αὖτῷ,G846,1,LUK,22,56
αὗτος,G846,1,HEB,10,12
αλλα,G235,1,LUK,9,56
αναβλέψαι,G308,1,MAR,8,25
τῳ,G3588,1,1CO,7,31
τῶ,G3588,1,1CO,14,2
υιῷ,G5207,1,REV,14,14
τιμιώτερον,G5093,1,1PE,1,7
τιμήσῃ,G5091,1,MAT,15,6
τολμηρότερον,G5112,1,ROM,15,15
τον,G3588,1,ACT,15,24
τοσοῦτόν,G5118,1,REV,21,16
τοὐτοῦ,G5127,1,REV,19,20
τοὓς,G3588,1,MAR,12,5
τούτω,G5129,1,ACT,25,5
τραπεζίταις,G5133,1,MAT,25,27
τριακονταοκτώ,G5144,1,JHN,5,5
τρυπήματος,G5169,1,MAT,19,24
τρωγυλλίῳ,G5175,1,ACT,20,15
τυγχάνοντα,G5177,1,LUK,10,30
φοίβης,G5402,1,ROM,16,27
φρονείσθω,G5426,1,PHP,2,5
φρυγίας,G5435,1,1TI,6,21
φωνοῦντες,G5455,1,MAR,3,31
φωνὴς,G5456,1,REV,6,1
τυχικοῦ,G5190,1,COL,4,18
τω,G3588,1,LUK,17,36
τὦ,G3588,1,MAR,2,15
τέθεικα,G5087,1,1CO,3,10
τέτευχεν,G5177,1,HEB,8,6
τέχνην,G5078,1,ACT,18,3
τὴ,G3588,1,LUK,14,5
τίθεται,G5087,1,MAR,15,47
τᾠ,G3588,1,LUK,23,42
τᾧ,G3588,1,LUK,6,38
τῃ,G3588,1,LUK,23,42
χξς,G5516,1,REV,13,18
χορηγήσαι,G5524,1,2CO,9,10
χρεωφειλετῶν,G5533,1,LUK,16,5
χρεωφειλέται,G5533,1,LUK,7,41
χρησθ᾽,G5543,1,1CO,15,33
χρηστότερός,G5543,1,LUK,5,39
φαιλόνην,G5341,1,2TI,4,13
φανερωθέντες,G5319,1,2CO,11,6
φαρμακειῶν,G5331,1,REV,9,21
φαρμακείᾳ,G5331,1,REV,18,23
φαρμακεῦσιν,G5332,1,REV,21,8
φαίνῃ,G5316,1,REV,8,12
φείσηται,G5339,1,ROM,11,21
φιλόφρονες,G5391,1,1PE,3,8
φοβηθήτε,G5399,1,MAT,10,28
φορέσομεν,G5409,1,1CO,15,49
ἀγαθε,G18,1,MAT,19,16
ἀγαθον,G18,1,MAT,19,17
ἀγαλλιῶμεθα,G21,1,REV,19,7
ἀγαπητῇ,G27,1,PHM,1,2
ἀγαπήσαντι,G25,1,REV,1,5
ἀγγεῖα,G30,1,MAT,13,48
ἀγνοέιτω,G50,1,1CO,14,38
ἀγομένους,G71,1,LUK,21,12
φάσκοντας,G5335,1,REV,2,2
φόρτου,G5414,1,ACT,27,10
χαλῶσιν,G5465,1,MAR,2,4
χαράγματος,G5480,1,REV,15,2
χερουβιμ,G5502,1,HEB,9,5
χιλιαρχος,G5506,1,ACT,24,7
χιὼν,G5510,1,MAR,9,3
χλευάζοντες,G5512,1,ACT,2,13
ἀκούσω,G191,1,PHP,1,27
ἀκάθαρτητος,G168,1,REV,17,4
ἀλαζονεία,G212,1,1JN,2,16
ἀλαζονείαις,G212,1,JAS,4,16
ἀληθείαν,G225,1,JHN,16,13
ἀλλοτριοεπίσκοπος,G244,1,1PE,4,15
ἀλὶ,G251,1,MAR,9,49
ἀμελήσω,G272,1,2PE,1,12
χρονιεῖ,G5549,1,HEB,10,37
χρυσῆν,G5552,1,REV,1,13
χρυσῴ,G5557,1,1TI,2,9
χρήμασιν,G5536,1,MAR,10,24
χωλοῦ,G5560,1,ACT,3,11
χάριτας,G5485,1,ACT,24,27
χάρουσιν,G5463,1,REV,11,10
χόρτους,G5528,1,MAT,14,19
ἀνακρίνουσιν,G350,1,1CO,9,3
ἀναληφθεὶς,G353,1,ACT,1,11
ἀναλήψεως,G354,1,LUK,9,51
ἀναλύσει,G360,1,LUK,12,36
ἀναλώσει,G355,1,2TH,2,8
ἀναπεσών,G377,1,JHN,13,12
ἀναπληρώσατε,G378,1,GAL,6,2
ἀναπτύξας,G380,1,LUK,4,17
ἀγομένων,G71,1,MAT,14,6
ἀγοράσομεν,G59,1,JHN,6,5
ἀδικήσῃ,G91,1,LUK,10,19
ἀδιἀφθορίαν,G90,1,TIT,2,7
ἀεί,G104,1,MAR,15,8
ἀθα,G3134,1,1CO,16,22
ἀκατάσχετον,G183,1,JAS,3,8
ἀκολουθήσωσιν,G190,1,JHN,10,5
ἀνείλετε,G337,1,ACT,2,23
ἀνείλετο,G337,1,ACT,7,21
ἀνεῖλον,G337,1,ACT,10,39
ἀνεῦρον,G429,1,LUK,2,16
ἀνεῳγμένην,G455,1,REV,3,8
ἀνεῳγμένους,G455,1,ACT,7,56
ἀνεῴχθησάν,G455,1,JHN,9,10
ἀνθρωποι,G444,1,LUK,2,15
ἀμην,G281,1,PHP,4,23
ἀμώμητα,G298,1,PHP,2,15
ἀνα,G303,1,REV,7,17
ἀναβοήσας,G310,1,MAR,15,8
ἀναγγελῶ,G312,1,JHN,16,25
ἀναγινώσκεται,G314,1,2CO,3,15
ἀνακείμενον,G345,1,MAR,5,40
ἀνακλῖναι,G347,1,MAR,6,39
ἀνἔζησαν,G326,1,REV,20,5
ἀνάγγειλον,G312,1,MAR,5,19
ἀνάκειται,G345,1,LUK,7,37
ἀνάπεσαι,G377,1,LUK,17,7
ἀνάπεσον,G377,1,LUK,14,10
ἀνάψαντες,G381,1,ACT,28,2
ἀνέκλιναν,G347,1,LUK,9,15
ἀνέκοψεν,G348,1,GAL,5,7
ἀνέπεμψα,G375,1,LUK,23,15
ἀναστήσειν,G450,1,ACT,2,30
ἀναίδειαν,G335,1,LUK,11,8
ἀνεγνωρίσθη,G319,1,ACT,7,13
ἀνεκλίθη,G347,1,LUK,7,36
ἀνεκτοτερον,G414,1,MAR,6,11
ἀνεξερεύνητα,G419,1,ROM,11,33
ἀνεπίληπτοι,G423,1,1TI,5,7
ἀνώγεον,G508,1,LUK,22,12
ἀπαγγέλλουσα,G518,1,JHN,20,18
ἀπαγάγετε,G520,1,MAR,14,44
ἀπαρτί,G534,1,REV,14,13
ἀπατηθεῖσα,G538,1,1TI,2,14
ἀπεδέχθησαν,G588,1,ACT,15,4
ἀπειλῇ,G547,1,ACT,4,17
ἀπεκριθη,G611,1,MAR,3,33
ἀπεσταλμενοῦς,G649,1,ACT,10,21
ἀπεσταλμένα,G649,1,REV,5,6
ἀνθυπατεύοντος,G445,1,ACT,18,12
ἀνοιχθῶσιν,G455,1,MAT,20,33
ἀντικρύ,G481,1,ACT,20,15
ἀντιλήψεις,G484,1,1CO,12,28
ἀντιπέραν,G495,1,LUK,8,26
ἀνωρθώθη,G461,1,LUK,13,13
Φιλήμονα,G5371,1,PHM,1,25
Φίλητος,G5372,1,2TI,2,17
Φύγελλος,G5436,1,2TI,1,15
Χθὲς,G5504,1,JHN,4,52
Χοραζίν,G5523,1,MAT,11,21
Χριστου,G5547,1,2TH,3,12
ἀποκαθιστᾳ,G600,1,MAR,9,12
ἀποκεκύλισται,G617,1,MAR,16,4
ἀποκτενει,G615,1,REV,13,10
ἀποκτείνεσθαι,G615,1,REV,6,11
ἀποκτείνοντες,G615,1,MAR,12,5
ἀνέστρεψεν,G390,1,JHN,2,15
ἀνήγγειλεν,G312,1,JHN,5,15
ἀνήκοντα,G433,1,EPH,5,4
ἀνίλεως,G448,1,JAS,2,13
ἀνὼγεον,G508,1,MAR,14,15
ἀπεστερημένος,G650,1,JAS,5,4
ἀπεστάλκασιν,G649,1,ACT,16,36
ἀπεστάλμαι,G649,1,LUK,4,43
ἀπετάξατο,G657,1,ACT,18,21
ἀποδεκατοῦν,G586,1,HEB,7,5
ἀποδεκατῶ,G586,1,LUK,18,12
ἀποδῴη,G591,1,2TI,4,14
ἀποθνῄσκουσιν,G599,1,1CO,15,22
αἰωνας,G165,1,REV,5,14
αἰωνιόυ,G166,1,1TI,6,19
αἶώνιος,G166,1,1JN,5,20
αἶῶνας,G165,1,ROM,16,27
αὐξανόντα,G837,1,MAR,4,8
Φιλαδελφείᾳ,G5359,1,REV,3,7
Φιλαδέλφειαν,G5359,1,REV,1,11
Φιλιππησίους,G5374,1,PHP,4,23
ἀπολαβεῖν,G618,1,LUK,6,34
ἀπολαμβάνειν,G618,1,3JN,1,8
ἀπολάβῃ,G618,1,LUK,18,30
ἀπολέσουσιν,G622,1,MAR,11,18
ἀπολέσωμεν,G622,1,2JN,1,8
ἀπολήψεσθε,G618,1,COL,3,24
ἀπολύσητε,G630,1,LUK,22,68
ἀπορρίψαντας,G641,1,ACT,27,43
ἀποσκευασάμενοι,G643,1,ACT,21,15
ἀποστέλω,G649,1,ACT,7,34
ἀποτινάξατε,G660,1,LUK,9,5
ἀποφύγοντας,G668,1,2PE,2,18
ἀπροσωπολήπτως,G678,1,1PE,1,17
ἀπωλείαις,G684,1,2PE,2,2
ἀπάγαγε,G520,1,ACT,23,17
ἀπέδοτο,G591,1,HEB,12,16
ἀφοριεῖ,G873,1,MAT,25,32
ἀφίστασο,G868,1,1TI,6,5
ἀφῆκας,G863,1,REV,2,4
ἀπέκρυψεν,G613,1,MAT,25,18
ἀπέλειχον,G621,1,LUK,16,21
ἀπέπεσον,G634,1,ACT,9,18
ἀπέπλυναν,G637,1,LUK,5,2
ἀπέστρεψεν,G654,1,MAT,27,3
ἀπήγαγεν,G520,1,ACT,24,7
ἀπίδω,G872,1,PHP,2,23
ἀπόλοῦνται,G622,1,MAR,2,22
ἀρετῆς,G703,1,2PE,1,3
ἀρνούμεθα,G720,1,2TI,2,12
ἀρτέμονα,G736,1,ACT,27,40
ἀρχαῖον,G744,1,REV,20,2
ἀσεβέσιν,G765,1,1TI,1,9
ἄρραφος,G729,1,JHN,19,23
ἄρρενες,G730,1,ROM,1,27
ἄρτοῦ,G740,1,MAT,16,11
ἅπαντων,G537,1,LUK,21,12
ἀσθενοῦσιν,G770,1,1CO,8,9
ἀσπασόμενοι,G782,1,ACT,25,13
ἀσπόνδους,G786,1,ROM,1,31
ἀστραπτούσαις,G797,1,LUK,24,4
ἀυτο,G846,1,PHP,3,16
ἀυτὸν,G846,1,HEB,12,3
ἀφαιρήσει,G851,1,REV,22,19
